E03_id;E06_id_001;id;creatorType;creatorID;creator;E06_title;title;holder_IRI;library;contentType;refCode;representationType;language;publishingPlace_id;publishingPlace;publisherID;publisherType;publisher;publishingDate
E03_275691000000;E06_275690979704_001;275691000000;Person;http://example.org/base/Eichenberger, Walter;Eichenberger, Walter;Instantiation - Von Zuger Kochapparaten - ein Stück Designgeschichte;Von Zuger Kochapparaten - ein Stück Designgeschichte;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 55.1997;Artikel;Deutsch;;;;;;1997
E03_305802000000;E06_305802056982_001;305802000000;Person;http://example.org/base/Kühn, Hansruedi;Kühn, Hansruedi;Instantiation - Baubeginn an der Höhenklinik Adelheid (Unterägeri);Baubeginn an der Höhenklinik Adelheid (Unterägeri);https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 55.1996;Artikel;Deutsch;;;;;;1996
E03_568210000000;E06_568209517139_001;568210000000;Person;http://example.org/base/Lämmler, Mercedes;Lämmler, Mercedes;Instantiation - Im Zeitraffer: 200 Jahre Zuger Kulturgeschichte;Im Zeitraffer: 200 Jahre Zuger Kulturgeschichte;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 55.2019;Artikel;Deutsch;;;;;;2018
E03_907839000000;E06_907838769936_001;907839000000;Person;http://example.org/base/Bossard, Carl;Bossard, Carl;Instantiation - Zug im Zug der Zeit : (Zivilisationsdynamik mit der Industrialisierung nach 1830);Zug im Zug der Zeit : (Zivilisationsdynamik mit der Industrialisierung nach 1830);https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 55.2018;Artikel;Deutsch;;;;;;2018
E03_93300272416;E06_93300272416_001;93300272416;Person;http://example.org/base/Nussbaumer, Reto;Nussbaumer, Reto;Instantiation - Vom Bauen und Zurückbauen : das alte Sanatorium Adelheid;Vom Bauen und Zurückbauen : das alte Sanatorium Adelheid;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;PTq 55.2001;Artikel;Deutsch;;;;;;2001
E03_105145417099;E06_105145417099_001;105145417099;;;;Instantiation - 75 Jahre Sanatorium Adelheid : (Festschrift);75 Jahre Sanatorium Adelheid : (Festschrift);https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATBq 744;Buch;Deutsch;Q65658;Unterägeri ;http://example.org/base/Sanatorium Adelheid;CorporateBody;Sanatorium Adelheid;1987
E03_105009942099;E06_105009942099_001;105009942099;Person;http://example.org/base/Nussbaumer, Reto;Nussbaumer, Reto;Instantiation - Dagobert Keiser und Richard Bracher : Architekten in Zug, 1906-1937;Dagobert Keiser und Richard Bracher : Architekten in Zug, 1906-1937;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATq 6996;Buch;Deutsch;Q68144;Zug;http://example.org/base/Nussbaumer;Person;Nussbaumer;1998
E03_100337354099;E06_100337354099_001;100337000000;;;;Instantiation - Neujahrsblatt der Theater- und Musik-Gesellschaft Zug : zur Erinnerung an deren 50jähriges Jubiläum seit Eröffnung des Stadttheaters im Jahre 1843;Neujahrsblatt der Theater- und Musik-Gesellschaft Zug : zur Erinnerung an deren 50jähriges Jubiläum seit Eröffnung des Stadttheaters im Jahre 1843;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Benutzung vor Ort;ATq 6692;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Rey & Kalt;CorporateBody;Rey & Kalt;1893
E03_100420104099;E06_100420104099_001;100420104099;;;;Instantiation - 150 Jahre Theater- und Musikgesellschaft Zug : 1809-1959;150 Jahre Theater- und Musikgesellschaft Zug : 1809-1959;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 2269;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q112709824;CorporateBody;TMGZ;1959
E03_100534320099;E06_100534320099_001;100534320099;;;;Instantiation - 100 Jahre Bürgerspital Zug : 1857-1957;100 Jahre Bürgerspital Zug : 1857-1957;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Buch;Tq 4190;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Bürgergemeinde;CorporateBody;Bürgergemeinde;1957
E03_100722660099;E06_100722660099_001;100722660099;Person;http://example.org/base/Brunner, Josef;Brunner, Josef;Instantiation - Philipp Etter : Leben und Werk;Philipp Etter : Leben und Werk;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 2298;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Gemeinnützige Gesellschaft;CorporateBody;Gemeinnützige Gesellschaft;1979
E03_100728419099;E06_100728419099_001;100728419099;Person;http://example.org/base/Kamer, Max;Kamer, Max;Instantiation - Zur Eröffnung des Neubaus Theater-Casino Zug;Zur Eröffnung des Neubaus Theater-Casino Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 513;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Kalt-Zehnder;CorporateBody;Kalt-Zehnder;1982
E03_100831865099;E06_100831865099_001;100831865099;Person;https://www.wikidata.org/wiki/Q532343;Etter, Philipp;Instantiation - Kurze Staats- und Verfassungskunde : unter besonderer Berücksichtigung der Kantone Zug und Schwyz;Kurze Staats- und Verfassungskunde : unter besonderer Berücksichtigung der Kantone Zug und Schwyz;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TB 1315;Buch;Deutsch;Q68144;Zug ;http://example.org/base/Kantonales Lehrmitteldepot;CorporateBody;Kantonales Lehrmitteldepot;1925
E03_100910658099;E06_100910658099_001;100910658099;;;;Instantiation - 100 Jahre Boris Hagelin, 1892-1992 : die Geschichte des Firmagründers (!) Crypto AG, 6301 Zug;100 Jahre Boris Hagelin, 1892-1992 : die Geschichte des Firmagründers (!) Crypto AG, 6301 Zug;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 1222;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q665539;CorporateBody;Crypto AG;1992
E03_101257055099;E06_101257055099_001;101257055099;Person;http://example.org/base/Pfeffer, Liliane;Pfeffer, Liliane;Instantiation - Aufbau des topographischen Bildarchivs der Stadt- und Kantonsbibliothek Zug : Einführung und Arbeitsbericht;Aufbau des topographischen Bildarchivs der Stadt- und Kantonsbibliothek Zug : Einführung und Arbeitsbericht;https://www.wikidata.org/wiki/Q856475;Bibliothek Zug;Broschüre;TBq 575;Buch;Deutsch;Q68144;Zug ;https://www.wikidata.org/wiki/Q856475;CorporateBody;Stadtbibliothek;1985
