B_E03_id;E03_type;B_E06_id;E06_type;id;superordinate;levelOfDescription;signature;E06_title;title;publisher_ID;publisherEntityType;publisher;scopeAndContent;representationType;creationDate;extent;contentType;creator_id;creatorType;creator;carrierExtent;E22_place_Id;E22_Place_Name
B_E03_326645;RecordSet;B_E06_326645_001;Instantiation;326645;E03_315926;Einzelstück;TD_51_00226;Instantiation of - Seegfroerni in Zug 1929;Seegfroerni in Zug 1929;;;;A: Paul Moos Dauer: 05:02;Videokasette (Digitalisiert) (digitalisiert übernommen);15.02.1929 - 27.03.1929;;Film;http://example.org/base/Paul Moos;Person;Paul Moos;;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_220304;RecordSet;B_E06_220304_001;Instantiation;220304;E03_93025;Bestand;TD_53;Instantiation of - Zuger Regionalfernsehversuche (ZRFV);Zuger Regionalfernsehversuche (ZRFV);;;;;;1980 - 1986;;Film;;;;;;
B_E03_222244;RecordSet;B_E06_222244_001;Instantiation;222244;E03_220304;Einzelstück;TD_53_18;Instantiation of - Sendung vom 06.03.1981 - Beitrag zu Mädchenriege Zug und Skiclub Oberwil;Sendung vom 06.03.1981 - Beitrag zu Mädchenriege Zug und Skiclub Oberwil;http://example.org/base/Zuger Kabelfernsehen;CorporateBody;Zuger Kabelfernsehen;"TV_ZRFV_13.1_18 (1.13-18) Signet [00:00-00:22] Moderation: Georg Kammann [00:23-02:25; 09:56-10:35; 27:37-28:49; 35:24-38:01] Zuger Wochenschau, mit Peter Holdener (Zuger Nachrichten) [02:26-09:55, inkl. Kurzfilm ""Greth Schell""] Live-Diskussion mit den Zuger Bobfahrern Kurt Poletti und Franz Weinberger. Leitung: René Ruffieux [10:36-27:36] Beitrag: Mädchenriege Zug [28:50-35:23] Beitrag: Skiclub Oberwil [38:02-39:49] Live-Diskussion EVZ. Teilnehmer: Louis Wettstein, Josef Havlik, Georg Keiser. Leitung: Alfred Trütsch. Mit Kurzfilm vom Spiel EVZ – Servette und Phone-In für Kabelfernsehzuschauer [39:50-58:47] Dauer: 58 min Sendungsnummer: 13 Tapenummer: 18";;1981;;Film;;;;;;
B_E03_222446;RecordSet;B_E06_222446_001;Instantiation;222446;E03_220304;Einzelstück;TD_53_19;Instantiation of - Sendung vom 06.03.1981 - EVZ (Live-Diskussion);Sendung vom 06.03.1981 - EVZ (Live-Diskussion);http://example.org/base/Zuger Kabelfernsehen;CorporateBody;Zuger Kabelfernsehen;"TV_ZRFV_13.2_19 (1.13-19) Live-Diskussion EVZ [Fortsetzung; 00:00-36:27] Dauer: 36 min Sendungsnummer: 13 Tapenummer: 19";;1981;;Film;;;;;;
B_E03_220303;RecordSet;B_E06_220303_001;Instantiation;220303;E03_93025;Bestand;TD_54;Instantiation of - Zuger Film- und Videoamateure (ZFVA);Zuger Film- und Videoamateure (ZFVA);;;;;;1970 - 2014;;Film;;;;;;
B_E03_340557;RecordSet;B_E06_340557_001;Instantiation;340557;E03_220303;Einzelstück;TD_54_78;Instantiation of - 200 Jahre tmgz, Künstler;200 Jahre tmgz, Künstler;;;;Medium: DV-HDD Typ: Dokumentarilm Dauer: 00:46:36;;2008;;Film;;;;;http://example.org/base/tmgz;tmgz
B_E03_340600;RecordSet;B_E06_340600_001;Instantiation;340600;E03_220303;Einzelstück;TD_54_81;Instantiation of - 200 Jahre tmgz, Gäste;200 Jahre tmgz, Gäste;;;;Medium: DV-HDD Typ: Dokumentarfilm Dauer: 01:35:30;;2009;;Film;;;;;http://example.org/base/tmgz;tmgz
B_E03_140000;RecordSet;B_E06_140000_001;Instantiation;140000;;Bestand;ZD;Instantiation of - Zuger Dokumentation;Zuger Dokumentation;;;;;;Undatiert;;Schriftgut;;;;;;
B_E03_140430;RecordSet;B_E06_140430_001;Instantiation;140430;E03_140000;Bestand;ZD.1;Instantiation of - Politik. Verwaltung. Justiz. Militär;Politik. Verwaltung. Justiz. Militär;;;;;;1887 - ;;Schriftgut;;;;;;
B_E03_141638;RecordSet;B_E06_141638_001;Instantiation;141638;E03_140430;Bestand;ZD.15;Instantiation of - Personen;Personen;;;;;;1887 - ;;Schriftgut;;;;;;
B_E03_141639;RecordSet;B_E06_141639_001;Instantiation;141639;E03_141638;Serie;ZD.15.0.100;Instantiation of - Personen A - Z;Personen A - Z;;;;;;1887 - ;;Schriftgut;;;;;;
B_E03_141738;RecordSet;B_E06_141738_001;Instantiation;141738;E03_141639;Dossier;ZD.15.0.100_71;Instantiation of - Etter Philipp;Etter Philipp;;;;"Stichworte:  *1891; †1977  Kantonsrat CVP 1919 - 1922 und 1924 - 1934  Regierungsrat CVP 1923 - 1934  Ständerat CVP 1930 - 1934  Bundesrat CVP 1934 - 1959  ";;1934 - ;;Schriftgut;;;;;;
B_E03_141739;RecordSet;B_E06_141739_001;Instantiation;141739;E03_141738;Teildossier;ZD.15.0.100_71.1;Instantiation of - Etter Philipp (Papierdossier);Etter Philipp (Papierdossier);;;;Anzahl Dokumente: 187;Papier (Analog) (analog);1934 - 2020;1.00 Schachteln;Schriftgut;;;;;;
B_E03_141740;RecordSet;B_E06_141740_001;Instantiation;141740;E03_141738;Teildossier;ZD.15.0.100_71.2;Instantiation of - Etter Philipp (elektronisches Dossier);Etter Philipp (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;;
B_E03_143422;RecordSet;B_E06_143422_001;Instantiation;143422;E03_140000;Bestand;ZD.5;Instantiation of - Arbeit. Wirtschaft;Arbeit. Wirtschaft;;;;;;1902 -;;Schriftgut;;;;;;
B_E03_144299;RecordSet;B_E06_144299_001;Instantiation;144299;E03_143422;Bestand;ZD.56;Instantiation of - Firmen;Firmen;;;;;;1907 - ;;Schriftgut;;;;;;
B_E03_144300;RecordSet;B_E06_144300_001;Instantiation;144300;E03_144299;Serie;ZD.56.0.130;Instantiation of - Firmen;Firmen;;;;;;1907 - ;;Schriftgut;;;;;;
B_E03_144476;RecordSet;B_E06_144476_001;Instantiation;144476;E03_144300;Dossier;ZD.56.0.130_108;Instantiation of - Crypto International AG;Crypto International AG;;;;Stichworte:  Crypto AG 1952 - 2019  CyOne Security AG Crypto Schweiz AG 2018  Infoguard AG;;1965 - ;;Schriftgut;;;;;;
B_E03_144477;RecordSet;B_E06_144477_001;Instantiation;144477;E03_144476;Teildossier;ZD.56.0.130_108.1;Instantiation of - Crypto International AG (Papierdossier);Crypto International AG (Papierdossier);;;;Anzahl Dokumente: 478;Papier (Analog) (analog);1965 - 2020;2.00 Schachteln;Schriftgut;;;;;;
B_E03_314301;RecordSet;B_E06_314301_001;Instantiation;314301;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Geheimdienst wusste noch mehr (Zuger Zeitung);Geheimdienst wusste noch mehr (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 240 Seite: 6 Untertitel: Die Crypto-Geräte beim Bund sind angeblich heute noch undicht – Nachrichtendienst blockte Warner immer ab.  Henry Habegger;;17.10.2020;;Schriftgut;http://example.org/base/Henry Habegger;Person;Henry Habegger;;;
B_E03_313205;RecordSet;B_E06_313205_001;Instantiation;313205;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Geheimdienst war ausser Kontrolle (Zuger Zeitung);Geheimdienst war ausser Kontrolle (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 261 Seite: 7 Untertitel: Aufarbeitung Crypto-Affäre: Der Untersuchungsbericht zeigt dass der Nachrichtendienst ohne Wissen der Regierung mit der CIA kooperierte.  Henry Habegger;;11.11.2020;;Schriftgut;http://example.org/base/Henry Habegger;Person;Henry Habegger;;;
B_E03_220423;RecordSet;B_E06_220423_001;Instantiation;220423;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Bundesrat machte in Crypto-Affäre so ziemlich alles falsch (Tages Anzeiger);Bundesrat machte in Crypto-Affäre so ziemlich alles falsch (Tages Anzeiger);https://www.wikidata.org/wiki/Q677683;CorporateBody;Tages Anzeiger; Ausgabe: Nr. 262 Seite: 4 Untertitel: Harsche Kritik Die Geschäftsprüfer werfen der Regierung zahlreiche Fehler nach dem  Kurt Pelda et al.;;10.11.2020;;Schriftgut;https://www.wikidata.org/wiki/Q21498088;Person;Kurt Pelda;;;
B_E03_313181;RecordSet;B_E06_313181_001;Instantiation;313181;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Adolf Ogi der vergessene Bundesrat (Zuger Zeitung);Adolf Ogi der vergessene Bundesrat (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 263 Seite: 6 Untertitel: Der frühere SVP-Magistrat war zur Zeit der Crypto-Affäre Verteidigungsminister. Seine Einschätzung war bei der Aufarbeitung jedoch nicht gefragt.  Lucien Fluri;;13.11.2020;;Schriftgut;http://example.org/base/Lucien Fluri;Person;Lucien Fluri;;;
B_E03_220425;RecordSet;B_E06_220425_001;Instantiation;220425;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Die halbe Untersuchung (Tages Anzeiger);Die halbe Untersuchung (Tages Anzeiger);https://www.wikidata.org/wiki/Q677683;CorporateBody;Tages Anzeiger; Ausgabe: Nr. 273 Seite: 3 Untertitel: Crypto-Affäre War der Bundesrat tatsächlich nicht über das wichtigste Geheimdienstprojekt der Schweiz der Nachkriegszeit informiert wie eine parlamentarische Untersuchung ergab? Die Kronzeugen wurden für die Untersuchung nicht befragt.  Res Strehle;;23.11.2020;;Schriftgut;https://www.wikidata.org/wiki/Q2145516;Person;Res Strehle;;;
B_E03_220419;RecordSet;B_E06_220419_001;Instantiation;220419;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Die Schweiz machte aktiv bei Bespitzelung mit (Tages Anzeiger);Die Schweiz machte aktiv bei Bespitzelung mit (Tages Anzeiger);https://www.wikidata.org/wiki/Q677683;CorporateBody;Tages Anzeiger; Ausgabe: Nr. 260 Seite: 9 Untertitel: Unkontrollierter Nachrichtendienst Das bestgehütete Geheimnis des Schweizer Geheimdienstes  Res Strehle et al.;;07.11.2020;;Schriftgut;https://www.wikidata.org/wiki/Q2145516;Person;Res Strehle;;;
B_E03_144478;RecordSet;B_E06_144478_001;Instantiation;144478;E03_144476;Teildossier;ZD.56.0.130_108.2;Instantiation of - Crypto International AG (elektronisches Dossier);Crypto International AG (elektronisches Dossier);;;;;Papier (Born digital) (born digital);2020 - ;;Schriftgut;;;;;;
B_E03_220475;RecordSet;B_E06_220475_001;Instantiation;220475;E03_144476;Einzelstück;ZD.56.0.130_108.2;Instantiation of - Professor Maurer und die NSA (WOZ Die Wochenzeitung);Professor Maurer und die NSA (WOZ Die Wochenzeitung);https://www.wikidata.org/wiki/Q684726;CorporateBody;WOZ Die Wochenzeitung;"Ausgabe: Nr. 48 Seite: 3 Untertitel: Manipulierte Chiffriergeräte beim Schweizer Geheimdienst ein Anwerbungsversuch der NSA an der ETH: Recherchen von WOZ und ""Rundschau"" belegen";;Undatiert;;Schriftgut;;;;;;
B_E03_144727;RecordSet;B_E06_144727_001;Instantiation;144727;E03_144300;Dossier;ZD.56.0.130_267;Instantiation of - Metall Zug AG;Metall Zug AG;;;;Stichworte:  Metallwaren-Holding AG 1887 - 2002  Metall-Zug-Gruppe  Belimed AG F  Gehrig AG 1963 - 2005  SIBIRGroup AG;;Undatiert;;Schriftgut;;;;;;
B_E03_144728;RecordSet;B_E06_144728_001;Instantiation;144728;E03_144727;Teildossier;ZD.56.0.130_267.1;Instantiation of - Metall Zug AG (Papierdossier);Metall Zug AG (Papierdossier);;;;Anzahl Dokumente: 682;Papier (Analog) (analog);1956 - 2020;3.00 Schachteln;Schriftgut;;;;;;
B_E03_313187;RecordSet;B_E06_313187_001;Instantiation;313187;E03_144727;Einzelstück;ZD.56.0.130_267.2;Instantiation of - Metall Zug baut auf dem Areal des Tech Clusters (Zuger Zeitung);Metall Zug baut auf dem Areal des Tech Clusters (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 263 Seite: 23 Untertitel: Die Metall-Zug-Gruppe plant gemeinsam mit SHL Medical ein kombiniertes Produktions- und Bürogebäude.  Carmen Rogenmoser;;13.11.2020;;Schriftgut;http://example.org/base/Carmen Rogenmoser;Person;Carmen Rogenmoser;;;
B_E03_221135;RecordSet;B_E06_221135_001;Instantiation;221135;E03_144727;Einzelstück;ZD.56.0.130_267.2;Instantiation of - Einzelne Geschäftsbereiche von Metall Zug stark betroffen (Zuger Zeitung);Einzelne Geschäftsbereiche von Metall Zug stark betroffen (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: Nr. 65 Seite: 11 Untertitel: Ohne das einstige Zugpferd V-Zug hat der Umsatz der Metall-Zug-Gruppe 2020 deutlich abgenommen. Vor allem Schleuniger leidet.  Christopher Gilb;;19.03.2021;;Schriftgut;http://example.org/base/Christopher Gilb;Person;Christopher Gilb;;;
B_E03_337814;RecordSet;B_E06_337814_001;Instantiation;337814;E03_144727;Einzelstück;ZD.56.0.130_267.2;Instantiation of - Zentralschweiz schlägt Novartis und Co. (Zuger Zeitung);Zentralschweiz schlägt Novartis und Co. (Zuger Zeitung);http://example.org/base/Zuger Zeitung;CorporateBody;Zuger Zeitung; Ausgabe: 117 Seite: 14 Untertitel: Würde man die stärksten regionalen Aktientitel in einen eigenen Index packen hätten SMI und SPI seit Anfang Jahr das Nachsehen.  Christopher Gilb;;22.05.2021;;Schriftgut;http://example.org/base/Christopher Gilb;Person;Christopher Gilb;;;
